,TERR_NAME,surface_area_total_km2,HR_baseline,HR_reporting_30,nr_stations_baseline,nr_stations_reporting_30,HR_NN_baseline_mean,HR_NN_baseline_std,HR_NN_reporting_30_mean,HR_NN_reporting_30_std,STATUS,surface_area_km2_wb,eez_area_km2,int_water_km2
NOR,Norway,1378608.0078125,78.62632313508087,100.31366892808711,223.0,137.0,40.616007591002194,57.773413990102085,54.44215957040661,71.7611809700156,WMO Member,365123.0078125,926633.0,86852.0
NPL,Nepal,143350.0,97.75820511172792,378.615900352851,15.0,1.0,34.130758361080765,23.93524044906291,,,WMO Member,143350.0,,
NRU,Nauru,310667.0,394.1237115424546,,2.0,,0.0,0.0,,,WMO Member,20.0,310645.0,2.0
NZL,New Zealand,4361574.0,295.34975876069376,387.8132326884629,50.0,29.0,102.88432070858802,361.7935822093749,182.40850826781102,465.4003760245198,WMO Member,263310.0,4098264.0,
OMN,Oman,877334.0,148.09912221211846,241.84485384918435,40.0,15.0,35.73577372981478,23.79999328269972,83.72474599878343,52.029267669914155,WMO Member,309500.0,558188.0,9646.0
PAK,Pakistan,1011853.0,151.6464938299237,165.37042776257906,44.0,37.0,57.033857114658176,42.9887712669001,61.32171362473836,43.21819158077198,WMO Member,770880.0,224899.0,16074.0
PAN,Panama,407047.0,368.3508291470692,,3.0,,167.77949987797692,7.992269612163356,,,WMO Member,74340.0,332707.0,
PER,Peru,2155302.0,218.8506339949693,356.0652616982388,45.0,17.0,40.00751112976884,45.18620030442456,86.68249351617932,43.1592055087019,WMO Member,1280000.0,857983.0,17319.0
PHL,Philippines,2276721.0,227.47232598913894,251.48011849846102,44.0,36.0,58.47016937761936,62.067286475338946,63.35438456189809,68.32902718777946,WMO Member,298170.0,1978551.0,
PLW,Palau,672925.0,580.0538768080082,,2.0,,491.666454501151,0.0,,,not WMO Member,460.0,617449.0,55016.0
PNG,Papua New Guinea,2862780.0,270.932861396722,,39.0,,54.962635286034335,77.82706599005238,,,WMO Member,452860.0,2409920.0,
POL,Poland,337673.0,72.6370471935637,74.40176712161932,64.0,61.0,60.298703426682366,28.93277617487454,63.28134352720762,26.201546721054854,WMO Member,306190.0,29847.0,1636.0
PRK,Democratic People's Republic of Korea,234672.0,91.54858195047511,93.2285125675378,28.0,27.0,48.72432050074612,22.833975211440993,52.01263108761888,24.36408153980422,WMO Member,120410.0,114262.0,
PRT,Portugal,1833771.595703125,243.21579398146886,276.41843249132927,31.0,24.0,46.850984153444365,55.14337487454298,58.0073402080902,64.35292909954961,WMO Member,91605.595703125,1728043.0,14123.0
PRY,Paraguay,397300.0,134.3841170268678,162.74724780059006,22.0,15.0,75.85841632841552,35.31193402463884,86.924327747483,60.9661625151181,WMO Member,397300.0,,
PSE,"Palestine, State of",7141.0,,,,,,,,,not WMO Member,6020.0,1121.0,
PYF,French Polynesia,4794671.0,1264.2087116717187,1264.2087116717187,3.0,3.0,458.01642510792794,784.4063971939167,458.01642510792794,784.4063971939167,WMO Member,3660.0,4781060.0,9951.0
QAT,Qatar,43033.0,65.59954268133276,73.34251836417944,10.0,8.0,8.321801932064641,10.945874772939318,5.183933568417368,9.598779787052894,WMO Member,11610.0,31423.0,
ROU,Romania,260396.0,40.59650168877965,40.59650168877965,158.0,158.0,29.667089995428903,11.656503933299202,29.667089995428913,11.656503933299202,WMO Member,230080.0,29545.0,771.0
RUS,Russian Federation,24663178.0,165.81671121100518,172.17213127699134,897.0,832.0,77.32008082223514,62.9345576821422,80.10284055038683,63.559116070132134,WMO Member,16376870.0,7686381.0,599927.0
RWA,Rwanda,24670.0,78.53343237118825,,4.0,,62.17365772347509,20.001360964655714,,,WMO Member,24670.0,,
SAU,Saudi Arabia,2448920.0,260.81709214611595,301.165636719631,36.0,27.0,106.94566888453554,80.33298368471785,161.69777625263768,78.79459469849627,WMO Member,2149690.0,224780.0,74450.0
SDN,Sudan,1920839.6930553413,234.26722794128816,,35.0,,96.91885626042811,86.66063469437412,,,WMO Member,1857827.6930553413,63012.0,
SEN,Senegal,352999.0,164.78400781255817,171.51263315958198,13.0,12.0,114.50461568694709,62.03373958597703,116.11542770825875,67.04077434018372,WMO Member,192530.0,158936.0,1533.0
SGP,Singapore,1426.000015258789,37.76241537903513,37.76241537903513,1.0,1.0,,,,,WMO Member,709.0000152587891,717.0,
SHN,St Helena,450770.0,,,,,,,,,not WMO Member,,450770.0,
